nama_region,nama_negara,tahun,jumlah_proyek,nilai_investasi
"Australia","Australia",2007,26,195.3
"Australia","Selandia Baru",2007,,
"Australia","Australia lainnya",2007,1,.3
"Afrika","Nigeria",2007,,
"Afrika","Afrika Lainnya",2007,15,505.7
"Gabungan Negara","Gabungan Negara",2007,185,1414.3
"Amerika","USA",2008,35,151.3
"Amerika","Kanada",2008,4,.9
"Amerika","Amerika lainnya",2008,11,23.6
"Eropa","Belgia",2008,2,23.2
"Eropa","Denmark",2008,3,1.1
"Eropa","Perancis",2008,18,164
"Eropa","Italia",2008,9,5.9
"Eropa","Belanda",2008,34,89.9
"Eropa","Norwegia",2008,2,.4
"Eropa","Jerman",2008,22,198.3
"Eropa","Inggris",2008,57,513.4
"Eropa","Swiss",2008,7,72.2
"Eropa","Eropa Lainnya",2008,5,23.1
"Asia","Jepang",2008,130,1365.4
"Asia","Korea Selatan",2008,182,301.1
"Asia","Hongkong",2008,18,120.2
"Asia","Taiwan",2008,35,69.4
"Asia","Singapura",2008,184,1487.3
"Asia","India",2008,20,17.8
"Asia","Asia Lainnya",2008,119,510.3
"Australia","Australia",2008,34,36
"Australia","Selandia Baru",2008,,
"Australia","Australia lainnya",2008,2,4.1
"Afrika","Nigeria",2008,,
"Afrika","Afrika Lainnya",2008,10,6542.8
"Gabungan Negara","Gabungan Negara",2008,195,3149.7
"Amerika","USA",2009,27,171.5
"Amerika","Kanada",2009,2,.4
"Amerika","Amerika lainnya",2009,4,1.5
"Eropa","Belgia",2009,5,1.8
"Eropa","Denmark",2009,2,1.1
"Eropa","Perancis",2009,12,29
"Eropa","Italia",2009,11,41.1
"Eropa","Belanda",2009,32,1198.7
"Eropa","Norwegia",2009,4,2.9
"Eropa","Jerman",2009,18,103.9
"Eropa","Inggris",2009,61,587.7
"Eropa","Swiss",2009,11,132.1
"Eropa","Eropa Lainnya",2009,16,11.1
"Asia","Jepang",2009,124,678.9
"Asia","Korea Selatan",2009,186,624.5
"Asia","Hongkong",2009,18,21
"Asia","Taiwan",2009,36,31.7
"Asia","Singapura",2009,189,4341
"Asia","India",2009,31,26.2
"Asia","Asia Lainnya",2009,133,280.5
"Australia","Australia",2009,26,79.7
"Australia","Selandia Baru",2009,3,1.3
"Australia","Australia lainnya",2009,,
"Afrika","Nigeria",2009,2,.3
"Afrika","Afrika Lainnya",2009,12,495.8
"Gabungan Negara","Gabungan Negara",2009,256,1952.2
"Amerika","USA",2010,100,930.9
"Amerika","Kanada",2010,15,147.9
"Amerika","Amerika lainnya",2010,119,1636.2
"Eropa","Belgia",2010,14,15.9
"Eropa","Denmark",2010,3,.2
"Eropa","Perancis",2010,57,3.3
"Eropa","Italia",2010,17,23.4
"Eropa","Belanda",2010,106,608.3
"Eropa","Norwegia",2010,8,6.6
"Eropa","Jerman",2010,51,157.6
"Eropa","Inggris",2010,132,276.2
"Eropa","Swiss",2010,20,129.6
"Eropa","Eropa Lainnya",2010,48,81.2
"Asia","Jepang",2010,321,712.6
"Asia","Korea Selatan",2010,355,328.5
"Asia","Hongkong",2010,62,566.1
"Asia","Taiwan",2010,72,47.5
"Asia","Singapura",2010,418,5565
"Asia","India",2010,44,8.9
"Asia","Asia Lainnya",2010,356,749.2
"Australia","Australia",2010,94,214.2
"Australia","Selandia Baru",2010,6,3
"Australia","Australia lainnya",2010,4,22
"Afrika","Nigeria",2010,,
"Afrika","Afrika Lainnya",2010,45,150
"Gabungan Negara","Gabungan Negara",2010,609,3830.4
"Amerika","USA",2011,112,1487.8
"Amerika","Kanada",2011,12,2.2
"Amerika","Amerika lainnya",2011,178,528.9
"Eropa","Belgia",2011,16,11.7
"Eropa","Denmark",2011,2,.1
"Eropa","Perancis",2011,59,134.3
"Eropa","Italia",2011,31,6
